line,english,german,issues,reviewed,replacement
787,(You are fortunate to have such a rare creature in your possession.),"(Du hast Glück, ein so seltenes Wesen in deinem Besitz zu haben.)",TERM:Creature->Kreatur,,
842,(You carefully study the patterns on its wings. From where did such a marvelous creature come from?),(Du studierst sorgfältig die Muster auf seinen Flügeln. Woher kam solch ein wundersames Geschöpf?),TERM:Creature->Kreatur,,
854,"(Despite having no discernible facial features, this little creature seems to have a happy and animated demeanor.)","(Obwohl dieses kleine Wesen keine erkennbaren Gesichtszüge hat, scheint es eine fröhliche und lebhafte Ausstrahlung zu haben.)",TERM:Creature->Kreatur,,
855,(This creature inspires you to think about what would happen if Torun fused himself with a Dumpling.),"(Dieses Wesen bringt dich dazu, darüber nachzudenken, was passieren würde, wenn Torun mit einem Knödel verschmelzen würde.)",TERM:Creature->Kreatur,,
859,(You're nearly overwhelmed by the powerful magic that gives life to this creature.),"(Du wirst fast überwältigt von der mächtigen Magie, die diesem Wesen Leben verleiht.)",TERM:Creature->Kreatur,,
883,"(Though this creature may appear to be simple-minded, you know it has great ambitions. Hopefully they align with your own.)","(Obwohl dieses Wesen einfältig erscheinen mag, weißt du, dass es große Ambitionen hat. Hoffentlich stimmen sie mit deinen eigenen überein.)",TERM:Creature->Kreatur,,
890,(It seems to be excessively confident in itself. Always a good trait to have in a creature.),(Es scheint übermäßig selbstsicher zu sein. Immer eine gute Eigenschaft für eine Kreatur.),TERM:Trait->Merkmal,,
926,NEW HOBBY. WANT TO EAT YOUR SPELL GEMS NOW.,NEUES HOBBY. WILL JETZT DEINE ZAUBEREDELSTEINE FRESSEN.,TERM:Spell Gems->Zaubersteine,,
930,"(This particular creature is extremely introverted, which is a rarity for Imlings.)","(Dieses spezielle Wesen ist äußerst introvertiert, was eine Seltenheit für Imlinge ist.)",TERM:Creature->Kreatur,,
945,(It gazes at you in admiration. You can't help but find this creature far more endearing than you should.),"(Es blickt dich bewundernd an. Du kannst nicht anders, als dieses Wesen viel liebenswürdiger zu finden, als du solltest.)",TERM:Creature->Kreatur,,
949,(One benefit of having this creature around is that you never need to worry about disposing of corpses.),"(Ein Vorteil, dieses Wesen in der Nähe zu haben, ist, dass du dir nie Gedanken über die Entsorgung von Leichen machen musst.)",TERM:Creature->Kreatur,,
951,(This creature always seems to be focused on something you can't see.),"(Dieses Wesen scheint stets auf etwas fixiert zu sein, das du nicht sehen kannst.)",TERM:Creature->Kreatur,,
963,"(This creature has the best of intentions, but it always seems to be clumsily knocking things over.)","(Dieses Wesen hat die besten Absichten, aber es scheint immer ungeschickt Dinge umzustoßen.)",TERM:Creature->Kreatur,,
971,Make sure all your Spell Gems are fully charged before we leave. To be attacked with dull gems is to be caught with one's pants down around one's ankles.,"Stelle sicher, dass alle deine Zaubergems vollständig aufgeladen sind, bevor wir aufbrechen. Mit stumpfen Gems angegriffen zu werden, ist wie auf dem falschen Fuß erwischt zu werden.",TERM:Spell Gems->Zaubersteine,,
982,"(In several decades from now, we will probably learn that this creature is the cause of all manner of terrible diseases.)","(In einigen Jahrzehnten werden wir wahrscheinlich erfahren, dass dieses Wesen die Ursache für alle möglichen schrecklichen Krankheiten ist.)",TERM:Creature->Kreatur,,
995,(This creature is particularly coveted by the magi in Nex. Surely there must be more to it than meets the eye.),"(Dieses Wesen wird von den Magiern in Nex besonders begehrt. Sicherlich muss mehr dahinterstecken, als man auf den ersten Blick sieht.)",TERM:Creature->Kreatur,,
1024,Make sure you keep your Spell Gems nice and polished. Dull ones aren't anywhere near as potent as freshly shined ones.,"Achte darauf, dass deine Zaubergems schön poliert bleiben. Stumpfe sind bei weitem nicht so wirksam wie frisch glänzende.",TERM:Spell Gems->Zaubersteine,,
1031,(Rhea often brings your kingdom's spare Spell Gems to this creature to eat.),(Rhea bringt diesem Wesen oft die überschüssigen Zauberedelsteine deines Königreichs zum Fressen.),TERM:Creature->Kreatur; TERM:Spell Gems->Zaubersteine,,
1044,(This creature always seems to be digesting food. Eating is a non-stop process for it.),(Dieses Wesen scheint ständig Nahrung zu verdauen. Essen ist für es ein ununterbrochener Prozess.),TERM:Creature->Kreatur,,
1045,"(This creature moves surprisingly fast, even on land.)","(Dieses Wesen bewegt sich erstaunlich schnell, selbst an Land.)",TERM:Creature->Kreatur,,
