file,line,term,reason,english,german
lore.csv,451,Plünderer,Reaver specialization,"Shortly after becoming the Hidden Grimoire, Cornell started researching the transmigration that souls undergo after death. Using small rodents as test subjects he discovered, among other things, that this phenomenon happens exactly nine minutes and seven seconds after a living being perishes. His most notable find, however, was the fact that Spell Gems leave a mark on a soul, one that remains at the very least throughout the entire process of transmigration. With great caution he created a Grimoire that was able to manipulate this magic. He gave it a terrifying appearance, hoping to scare the looters, but also gave it a personality that would drive it to take care of animals, trying to make amends for the many creatures that had died for his research. However, for obvious reasons, animals usually flee in terror at its presence.","Kurz nachdem Cornell zum Verborgenen Grimoire wurde, begann er, die Seelenwanderung zu erforschen, die nach dem Tod stattfindet. Mit kleinen Nagetieren als Versuchsobjekte entdeckte er unter anderem, dass dieses Phänomen genau neun Minuten und sieben Sekunden nach dem Ableben eines Lebewesens eintritt. Seine bemerkenswerteste Entdeckung war jedoch die Tatsache, dass Zaubersteine eine Markierung auf der Seele hinterlassen, die mindestens während des gesamten Prozesses der Seelenwanderung bestehen bleibt. Mit großer Vorsicht erschuf er ein Grimoire, das in der Lage war, diese Magie zu manipulieren. Er gab ihm ein furchterregendes Aussehen, um Plünderer abzuschrecken, verlieh ihm aber auch eine Persönlichkeit, die es dazu bringen würde, sich um Tiere zu kümmern, um so für die vielen Geschöpfe, die für seine Forschung gestorben waren, Wiedergutmachung zu leisten. Aus offensichtlichen Gründen fliehen Tiere jedoch meist in Panik vor seiner Anwesenheit."
lore.csv,465,Plünderer,Reaver specialization,"But reconquering their towns was not enough for the humans. They entered the lands of the Asura to eliminate them once and for all. Their civilization was turned to ash, and they have lived in small tribes since then, earning their living as mercenaries, hunters, thieves and raiders. The one in charge of dispensing torture in the new Asura ""empire"" is the Fleshstomper. When a slave tries to rebel, this creature makes an example of them so that the others never think about it again.","Aber die Rückeroberung ihrer Städte war den Menschen nicht genug. Sie drangen in die Länder der Asura ein, um sie ein für alle Mal zu vernichten. Ihre Zivilisation wurde zu Asche, und seitdem leben sie in kleinen Stämmen und verdienen ihren Lebensunterhalt als Söldner, Jäger, Diebe und Plünderer. Derjenige, der im neuen Asura-""Imperium"" für die Folter zuständig ist, ist der Fleischstampfer. Wenn ein Sklave zu rebellieren versucht, macht diese Kreatur ein Exempel an ihm, damit die anderen nie wieder daran denken."
lore.csv,498,Plünderer,Reaver specialization,"When a Shade is seriously injured, it needs to stay within a surface and recover energy or it will disappear.\n\nSeven hundred years ago, a group of mercenaries managed to catch an infamous band of looters. After their execution, nineteen Hoar Shades instantly appeared, about half of the band. They quickly armed themselves with their old sabers and attacked the population. Since that day, executions in Siralim take place far from the capital.","Wenn ein Schatten schwer verletzt ist, muss er in einer Oberfläche bleiben und Energie sammeln, sonst verschwindet er.\n\nVor siebenhundert Jahren gelang es einer Gruppe von Söldnern, eine berüchtigte Bande von Plünderern zu fangen. Nach ihrer Hinrichtung erschienen sofort neunzehn Reifschemen, etwa die Hälfte der Bande. Sie bewaffneten sich schnell mit ihren alten Säbeln und griffen die Bevölkerung an. Seit diesem Tag finden Hinrichtungen in Siralim weit entfernt von der Hauptstadt statt."
lore.csv,553,Plünderer,Reaver specialization,"Wernicke the Raider is the most powerful Centaur warrior. Two hundred years ago, when the Elves managed to find a way into his village, he tried to protect his people armed only with a thick branch, but he was killed by the arrows of his enemies. When everything seemed lost, his heart began to beat once again in his chest. He had become Gonfurian's Chosen. Overflowing with new life, and alone, he managed to contain the invaders until the other warriors came to his aid.","Wernicke der Plünderer ist der mächtigste Zentauren-Krieger. Vor zweihundert Jahren, als die Elfen einen Weg in sein Dorf fanden, versuchte er sein Volk nur mit einem dicken Ast bewaffnet zu beschützen, wurde jedoch von den Pfeilen seiner Feinde getötet. Als alles verloren schien, begann sein Herz erneut in seiner Brust zu schlagen. Er war Gonfurians Auserwählter geworden. Erfüllt von neuem Leben und ganz allein gelang es ihm, die Eindringlinge aufzuhalten, bis die anderen Krieger ihm zu Hilfe kamen."
lore.csv,753,Plünderer,Reaver specialization,"After Apollinaire raided the Columbia Tower, most of the Grimoires escaped from their bookshelves and spread across the continent. Those who remained hid everything they could in the basements to prevent looters from taking it.\n\nDespite the fact that the Pyro Grimoire's spells have changed over the years, they have always posed a fire risk. If a person without the necessary training uses it, their body will burst into flames.","Nachdem Apollinaire den Columbia-Turm überfallen hatte, entkamen die meisten Grimoires aus ihren Bücherregalen und verbreiteten sich über den Kontinent. Diejenigen, die zurückblieben, versteckten alles, was sie konnten, in den Kellern, um zu verhindern, dass Plünderer es mitnahmen.\n\nObwohl sich die Zauber des Pyro-Grimoires im Laufe der Jahre verändert haben, stellten sie immer eine Brandgefahr dar. Wenn eine Person ohne die notwendige Ausbildung es benutzt, wird ihr Körper in Flammen aufgehen."
lore.csv,829,Plünderer,Reaver specialization,"Even though Eferia is part of Torun's realm, the Ak'haruts blocked access to it through Teleportation Shrines and similar portals which adventurers and looters have been using to travel for over a thousand years.\n\nSnaptraps can uproot themselves and walk on their roots. Although they lack intelligence, their ability to navigate their surroundings and respond to the stimuli around them is impressive.\n\nThe Battrap is the only Snaptrap in Eferia that does not feed on birds, mammals or reptiles, but on insects and feces. If another predator, including other Snaptraps, tries to devour it or the animals it shelters, it will either attack or flee depending on its chances.","Obwohl Eferia zum Reich von Torun gehört, haben die Ak'haruts den Zugang durch Teleportationsschreine und ähnliche Portale blockiert, die Abenteurer und Plünderer seit über tausend Jahren für ihre Reisen nutzen.\n\nSnaptraps können sich selbst entwurzeln und auf ihren Wurzeln laufen. Obwohl ihnen Intelligenz fehlt, ist ihre Fähigkeit, sich in ihrer Umgebung zu orientieren und auf Reize um sie herum zu reagieren, beeindruckend.\n\nDie Battrap ist die einzige Snaptrap in Eferia, die sich nicht von Vögeln, Säugetieren oder Reptilien ernährt, sondern von Insekten und Kot. Wenn ein anderes Raubtier, einschließlich anderer Snaptraps, versucht, sie oder die Tiere, die sie beherbergt, zu verschlingen, wird sie je nach ihren Chancen entweder angreifen oder fliehen."
lore.csv,985,Plünderer,Reaver specialization,"Kaito was razed to the ground by the Watchers thousands of years before the Seraphs existed. Gonfurian claimed the ruins of that kingdom, and they became part of his realm. When the Unification War came to an end, many Seraphs of the newly founded Rodia had lost their wings and ability to reproduce due to the fall of the kingdoms they served, or rather, those they were forced to serve. However, a group of these homeless Seraphs came to Surathli and asked for mercy. The Goddess pondered for a moment and decided to give them back their ability to spawn new Seraphs, uniting them all into one single lineage. These Seraphs all took different paths, but they always used their new blade to carry out the designs of the forces of good. Some of them began to protect the ruins of Kaito from looters. Given the great cultural value of those ruins, archeologists and historians began calling these creatures ""Keepers of Knowledge"", or even ""Kaito Seraphs"", as they are commonly known today.","Kaito wurde von den Wächtern tausende Jahre vor der Existenz der Seraphen dem Erdboden gleichgemacht. Gonfurian beanspruchte die Ruinen dieses Königreichs, und sie wurden Teil seines Reiches. Als der Vereinigungskrieg zu Ende ging, hatten viele Seraphen des neu gegründeten Rodia ihre Flügel und Fortpflanzungsfähigkeit verloren, aufgrund des Falls der Königreiche, denen sie dienten, oder vielmehr, denen sie zu dienen gezwungen waren. Jedoch kam eine Gruppe dieser heimatlosen Seraphen nach Surathli und bat um Gnade. Die Göttin überlegte einen Moment und beschloss, ihnen ihre Fähigkeit zurückzugeben, neue Seraphen zu erschaffen, und vereinte sie alle zu einer einzigen Abstammungslinie. Diese Seraphen schlugen alle unterschiedliche Wege ein, aber sie nutzten stets ihre neue Klinge, um die Pläne der Mächte des Guten auszuführen. Einige von ihnen begannen, die Ruinen von Kaito vor Plünderern zu schützen. Aufgrund des großen kulturellen Wertes dieser Ruinen begannen Archäologen und Historiker, diese Wesen ""Hüter des Wissens"" oder sogar ""Kaito-Seraphen"" zu nennen, wie sie heute allgemein bekannt sind."
lore.csv,1031,Plünderer,Reaver specialization,"Unlike the Fae, Shallan is quiet and calm. She spends most of her time lying down or flying slowly while watching over her realm, although she does occasionally approach other creatures to play with them, tell stories, or simply strike up conversation. Now that the Auditors have found a way into the realm, she is not at all happy due to the influx of looters. She has ordered all Fae to attack any intruder, especially those who try to cut down trees or take the creatures that inhabit the Fae Lands.","Im Gegensatz zu den Feen ist Shallan ruhig und gelassen. Sie verbringt die meiste Zeit damit, zu liegen oder langsam zu fliegen, während sie über ihr Reich wacht, obwohl sie sich gelegentlich anderen Kreaturen nähert, um mit ihnen zu spielen, Geschichten zu erzählen oder einfach ein Gespräch zu beginnen. Jetzt, da die Prüfer einen Weg ins Reich gefunden haben, ist sie aufgrund des Zustroms von Plünderern überhaupt nicht glücklich. Sie hat allen Feen befohlen, jeden Eindringling anzugreifen, besonders jene, die versuchen, Bäume zu fällen oder die Kreaturen zu nehmen, die die Feenlande bewohnen."
lore.csv,1062,Plünderer,Reaver specialization,"When Shallan sensed an opening in the spell that prevented interdimensional travel to her realm, she ordered the Fae to train the most skilled Braves, creatures full of courage and adventurous spirit who are always accompanied by one of the Fae. Their main mission would be to leave the Fae Lands and travel the world in search of knowledge that could serve the Fae and all other creatures within Yataka to protect themselves from the looters.","Als Shallan eine Öffnung in dem Zauber spürte, der interdimensionales Reisen in ihr Reich verhinderte, befahl sie den Fae, die geschicktesten Braves auszubilden, Wesen voller Mut und Abenteuerlust, die stets von einem der Fae begleitet werden. Ihre Hauptaufgabe sollte sein, die Fae-Lande zu verlassen und die Welt zu bereisen, auf der Suche nach Wissen, das den Fae und allen anderen Geschöpfen in Yataka dienen könnte, um sich vor den Plünderern zu schützen."
lore.csv,1155,Plünderer,Reaver specialization,"Bumblebigs are rare, generally peaceful creatures that live exclusively in the Unsullied Meadows, although groups of looters and mercenaries have recently started to use them as shock troops. Bumblebigs do not form colonies or pollinate flowers. Indeed, neither do they feed or defend themselves against attacks. They simply wander around, apparently waiting to be eaten by another animal. Shortly after this, a new Bumblebig will mysteriously spring from the ground at a different spot in the Unsullied Meadows.","Bumblebigs sind seltene, im Allgemeinen friedliche Kreaturen, die ausschließlich in den Unbefleckten Wiesen leben, obwohl Gruppen von Plünderern und Söldnern sie in letzter Zeit als Stoßtruppen einsetzen. Bumblebigs bilden keine Kolonien und bestäuben keine Blumen. Tatsächlich ernähren sie sich nicht und verteidigen sich auch nicht gegen Angriffe. Sie wandern einfach umher und warten anscheinend darauf, von einem anderen Tier gefressen zu werden. Kurz danach wird auf mysteriöse Weise an einer anderen Stelle in den Unbefleckten Wiesen ein neuer Bumblebig aus dem Boden sprießen."
perks.csv,17,Behändigkeit,Celerity/Schnelligkeit reference,"After your creatures {ACTION_attack} with [nature_monk_kaze] Celerity, they have a <2.5>% chance to {ACTION_attack} an additional time. This effect can occur repeatedly until it fails.","Nachdem deine Kreaturen mit [nature_monk_kaze] Behändigkeit {ACTION_attack}, haben sie eine <2.5>%-Chance, ein weiteres Mal {ACTION_attack}. Dieser Effekt kann wiederholt auftreten, bis er fehlschlägt."
perks.csv,23,Behändigkeit,Celerity/Schnelligkeit reference,"After your creatures {ACTION_attack} with [nature_monk_kaze]Celerity, they have a <1>% chance to move to the top of the {TIMELINE}.","Nachdem deine Kreaturen mit [nature_monk_kaze]Behändigkeit {ACTION_attack}, haben sie eine <1>% Chance, an die Spitze der {TIMELINE} zu gelangen."
traits.csv,1270,Behändigkeit,Celerity/Schnelligkeit reference,Song of Alacrity,Lied der Behändigkeit
traits.csv,1528,Behändigkeit,Celerity/Schnelligkeit reference,Pandemonium Alacrity,Pandemonium-Behändigkeit
