line,english,german,issues,reviewed,replacement
91,"Faced with an increase in harmful human activities, the famous Nature Mage Calkins had an idea for the Dryads to overcome their limitations. With the help of other Nature Magi, she enchanted a sprout of each oak and gave it to the Dryads.\n\nThe Dryad Vindicator uses her wooden sword to punish any creature she finds cutting trees or damaging bushes. The wounds she inflicts cause her victims to undergo a slow but inexorable transformation into the plant they were harming.","Angesichts der Zunahme schädlicher menschlicher Aktivitäten hatte die berühmte Naturmagierin Calkins eine Idee, wie die Dryaden ihre Einschränkungen überwinden könnten. Mit der Hilfe anderer Naturmagier verzauberte sie einen Spross jeder Eiche und gab ihn den Dryaden.\n\nDie Dryaden-Rächerin nutzt ihr Holzschwert, um jedes Wesen zu bestrafen, das sie beim Fällen von Bäumen oder Beschädigen von Büschen ertappt. Die Wunden, die sie zufügt, bewirken bei ihren Opfern eine langsame, aber unaufhaltsame Verwandlung in die Pflanze, der sie Schaden zugefügt haben.",TERM:Creature->Kreatur,,
102,"At the dawn of civilization, the Amaranths fell from the sky. Yseros hurried to Eternity's End and met with Vertraag. ""Was that you?"" she asked. ""No,"" answered the God of Time. A smile appeared on his face. ""It was no one. They were already here.""\n\nWhen a spell hits the Enclave Amaranth, part of the magic bounces off its body and moves toward the caster. It is common to find groups of these creatures after a natural disaster, staring at the damage.","Bei der Morgendämmerung der Zivilisation fielen die Amaranthe vom Himmel. Yseros eilte zum Ende der Ewigkeit und traf Vertraag. ""Warst du das?",TOKEN_MISMATCH; TERM:Creatures->Kreaturen,,
103,"In the beginning, there were eleven. They shaped the world and created everything that exists. Or, at least, that is what they believed. A blinding flash illuminated the velvet of the night. Were the stars falling from the sky?\n\nDespite the Amaranthine's disturbing appearance, it is as peaceful as the other Amaranths, and it spends most of its time simply observing the landscape. If attacked, this creature floats in the air and spins frantically to protect itself.","Am Anfang waren es elf. Sie formten die Welt und erschufen alles, was existiert. Oder zumindest glaubten sie das. Ein blendender Blitz erhellte den Samt der Nacht. Fielen die Sterne vom Himmel?\n\nTrotz seines verstörenden Aussehens ist das Amaranthine so friedlich wie die anderen Amaranths und verbringt die meiste Zeit damit, einfach die Landschaft zu beobachten. Wenn es angegriffen wird, schwebt dieses Wesen in der Luft und dreht sich hektisch, um sich zu schützen.",TERM:Creature->Kreatur,,
106,"Sometimes, when the dry leaves are carried by the wind, they form a copper-colored whirlwind that rustles violently. When it stops, a noble, surly-looking creature can be seen. Like the other Aspects, they are considered holy creatures by Nature Magi, though every Mage respects them to some extent, as they are known to keep the balance between the seasons. If a region does not wither as it should during the fall, this creature will accelerate the process.","Manchmal, wenn trockene Blätter vom Wind getragen werden, bilden sie einen kupferfarbenen Wirbelwind, der heftig raschelt. Wenn er aufhört, kann eine edle, mürrisch aussehende Kreatur gesehen werden. Wie die anderen Aspekte werden sie von Naturmagiern als heilige Wesen betrachtet, obwohl jeder Magier sie bis zu einem gewissen Grad respektiert, da sie bekanntermaßen das Gleichgewicht zwischen den Jahreszeiten halten. Wenn eine Region im Herbst nicht wie vorgesehen verwelkt, wird diese Kreatur den Prozess beschleunigen.",TERM:Creatures->Kreaturen,,
136,"The most ambitious project was directed by Zonte's master, Ainsworth, a Mage that few have managed to match. The experiment was meant to replicate Nether Orbs to unravel the enigma of creation and thus be able to create other worlds without the help of the Gods. For this, she accepted the advice of Vertraag.\n\nOccultists sometimes try to eat or perform routine actions without success. Raptor Occultists extract energy from Spell Gems without damaging them to increase the power of their spells.","Der ehrgeizigste Projekt wurde von Zontes Meister, Ainsworth, geleitet, einem Magier, dem nur wenige das Wasser reichen konnten. Das Experiment sollte Nether-Kugeln replizieren, um das Rätsel der Schöpfung zu entschlüsseln und somit andere Welten ohne die Hilfe der Götter erschaffen zu können. Dafür nahm sie den Rat von Vertraag an.\n\nOkkultisten versuchen manchmal zu essen oder alltägliche Handlungen auszuführen, ohne Erfolg. Raptor-Okkultisten extrahieren Energie aus Zauberedelsteinen, ohne sie zu beschädigen, um die Kraft ihrer Zauber zu verstärken.",TERM:Spell Gems->Zaubersteine,,
141,"The Nether Orbs were the objects of study that attracted the most attention. It was Zonte who managed to confirm the first hypotheses, which suggested that they could be residual energy left behind from the creation of the world.\n\nEveryone who has seen more than one Occultist has thought they were the same creature at first, as their features are always exactly the same. No spell is unknown to the Occultist Spellbinder, but she can only cast them when something makes her angry.","Die Nether-Kugeln waren die Studienobjekte, die die meiste Aufmerksamkeit auf sich zogen. Es war Zonte, dem es gelang, die ersten Hypothesen zu bestätigen, die darauf hindeuteten, dass es sich um Restenergie handeln könnte, die bei der Erschaffung der Welt zurückgeblieben war.\n\nJeder, der mehr als einen Okkultisten gesehen hat, dachte zunächst, es sei dasselbe Wesen, da ihre Merkmale immer genau gleich sind. Kein Zauber ist dem Okkultisten-Zauberbinder unbekannt, aber sie kann sie nur wirken, wenn etwas sie wütend macht.",TERM:Creature->Kreatur,,
143,"The Dragons' mating season occurs during the summer solstice, when hundreds of them can be seen intertwining in mid-air and looping in a majestic dance of beauty and mystery.\n\nDragon Sentinels are the watchmen of the Unsullied Meadows, and are always in contact with Ents, Moss Golems, and other creatures that protect nature, which update them on what is happening in the vast Meadows. Their tracking ability and their acute sense of smell mean not a single infraction escapes their notice.","Die Paarungszeit der Drachen findet zur Sommersonnenwende statt, wenn Hunderte von ihnen in der Luft umeinander kreisen und sich in einem majestätischen Tanz voller Schönheit und Mysterium verflechten.\n\nDie Drachenwächter sind die Hüter der Unberührten Auen und stehen stets in Kontakt mit Ents, Moosgolems und anderen Wesen, die die Natur beschützen und sie über alle Vorkommnisse in den weitläufigen Auen informieren. Dank ihrer Fähigkeit, Spuren zu verfolgen, und ihres ausgeprägten Geruchssinns entgeht ihnen kein einziger Verstoß.",TERM:Creatures->Kreaturen,,
145,"Many poachers look for Dragon eggs due to their attractiveness and the high price at which they are sold, so many Dragons have decided to leave the Unsullied Meadows and establish their lair in more remote places.\n\nThe Dragon Revenant is the most elusive of its kind, as it lives on its own and never communicates with anyone unless it needs something. Its knowledge of magic is comparable to that of the most versed Magi, since it collects sorcery books and Spell Gems with which it practices daily.","Viele Wilderer suchen nach Dracheneiern aufgrund ihrer Attraktivität und des hohen Preises, zu dem sie verkauft werden, weshalb viele Drachen beschlossen haben, die Unbefleckten Wiesen zu verlassen und ihr Lager an abgelegeneren Orten zu errichten.\n\nDer Drachenrevenant ist der unnahbarste seiner Art, da er allein lebt und mit niemandem kommuniziert, es sei denn, er benötigt etwas. Sein Wissen über Magie ist vergleichbar mit dem der bewandertsten Magier, da er Zauberbücher und Zauberedelsteine sammelt, mit denen er täglich übt.",TERM:Spell Gems->Zaubersteine,,
156,"Despite its threatening appearance, the Pumking does not enjoy fighting, and prefers to play practical jokes on the people around it. If, despite that, a Mage is determined to make this creature part of their team, having a considerable amount of sweets in their pantry is usually enough to keep its eccentricities at bay. Otherwise, they may wake up the next morning to find all their clothes replaced with bags of manure.","Trotz seines bedrohlichen Aussehens kämpft der Pumking nicht gerne und zieht es vor, den Menschen in seiner Umgebung Streiche zu spielen. Wenn ein Magier dennoch entschlossen ist, dieses Wesen in sein Team aufzunehmen, reicht es in der Regel aus, eine beträchtliche Menge an Süßigkeiten in seiner Vorratskammer zu haben, um seine Exzentrizitäten in Schach zu halten. Andernfalls könnten sie am nächsten Morgen aufwachen und feststellen, dass all ihre Kleidung durch Säcke mit Mist ersetzt wurde.",TERM:Creature->Kreatur,,
167,"Many humans took the Brownie's side during their rebellion. However, when everything was over, most of these creatures left the cities, not wanting to have anything to do with humans anymore.\n\nSome Brownies work for crime syndicates, offering their services as hired killers for a cheaper fee than the Nixes. Their small size is ideal for entering homes and dealing with their targets without attracting attention, and they are sometimes as efficient as the hired killers par excellence.","Viele Menschen stellten sich während der Rebellion auf die Seite der Brownies. Als jedoch alles vorbei war, verließen die meisten dieser Wesen die Städte, da sie nichts mehr mit Menschen zu tun haben wollten.\n\nEinige Brownies arbeiten für Verbrechersyndikate und bieten ihre Dienste als Auftragskiller zu einem günstigeren Preis an als die Nixen. Ihre geringe Größe ist ideal, um in Häuser einzudringen und ihre Ziele ohne Aufsehen zu erledigen, und manchmal sind sie genauso effizient wie die Auftragskiller par excellence.",TERM:Creatures->Kreaturen,,
168,"Long ago, humans tried to enslave Brownies by taking advantage of their altruistic nature. They made a big mistake. In Rodia, Brownies who have learned to fight wield large hammers of different weights.\n\nBrownie Brutes carry the heaviest ones, made of a hard alloy, and need to undergo strict training before they can wield them. Despite their small size, the strength of these creatures is immense, and they can easily handle weapons that weigh up to twice their own weight.","Vor langer Zeit versuchten Menschen, Brownies zu versklaven, indem sie deren altruistische Natur ausnutzten. Sie begingen einen großen Fehler. In Rodia schwingen Brownies, die kämpfen gelernt haben, große Hämmer unterschiedlicher Gewichte.\n\nBrownie-Schläger tragen die schwersten, aus einer harten Legierung gefertigten Hämmer und müssen ein strenges Training absolvieren, bevor sie diese führen können. Trotz ihrer geringen Größe ist die Stärke dieser Wesen immens, und sie können mühelos Waffen handhaben, die bis zum Doppelten ihres eigenen Gewichts wiegen.",TERM:Creatures->Kreaturen,,
169,"Brownies were once peaceful creatures that lived in human homes in exchange for sharing certain tasks. This custom still exists in regions far from the big cities, although it is unusual.\n\nBlademasters are experienced warriors who came from abroad. In their country of origin, they were fugitives who fought for freedom and protected their people from slavers.","Brownies waren einst friedliche Wesen, die in menschlichen Häusern lebten und im Gegenzug bestimmte Aufgaben übernahmen. Dieser Brauch existiert noch immer in Regionen fernab der großen Städte, obwohl er ungewöhnlich ist.\n\nKlingenkämpfer sind erfahrene Krieger, die aus dem Ausland kamen. In ihrem Herkunftsland waren sie Flüchtlinge, die für die Freiheit kämpften und ihr Volk vor Sklavenhändlern beschützten.",TERM:Creatures->Kreaturen,,
179,"Zonte convinced his teacher Ainsworth not to give the order to exterminate the Slimes, as they were relatively harmless.\n\nAt night, the Paranormal Slime slides inside a bedroom and gets close to a bed. There, it lights a candle and makes some noise. When the victims awake, they watch in horror as this creature waves its hands and tongue. Finally, the Paranormal Slime lets out a laugh and stumbles out of the house.","Zonte überzeugte seinen Lehrer Ainsworth, nicht den Befehl zur Ausrottung der Schleime zu geben, da sie relativ harmlos waren.\n\nIn der Nacht gleitet der Paranormale Schleim in ein Schlafzimmer und nähert sich einem Bett. Dort zündet er eine Kerze an und macht einige Geräusche. Wenn die Opfer aufwachen, beobachten sie mit Entsetzen, wie dieses Wesen seine Hände und Zunge bewegt. Schließlich lacht der Paranormale Schleim und stolpert aus dem Haus.",TERM:Creature->Kreatur,,
186,"Many children in Rodia dream of becoming Magi and summoning a Pegasus with which to soar the skies. They are extremely rare creatures that spend most of their time in the clouds or on the peaks of high mountains, inaccessible to most. They enjoy silence and tranquility, but they will immediately come to the aid of people who cannot fend for themselves if they witness a catastrophe.","Viele Kinder in Rodia träumen davon, Magier zu werden und einen Pegasus zu beschwören, mit dem sie durch die Lüfte gleiten können. Sie sind äußerst seltene Geschöpfe, die den Großteil ihrer Zeit in den Wolken oder auf den Gipfeln hoher Berge verbringen, unzugänglich für die meisten. Sie genießen Stille und Ruhe, kommen aber sofort Menschen zu Hilfe, die sich nicht selbst verteidigen können, wenn sie eine Katastrophe miterleben.",TERM:Creatures->Kreaturen,,
195,"Centuries ago, a team of chemists and Magi hastily developed dangerous technology. The result was an unstable machine and the biggest explosion in history.\n\nBeing close to the Noxious Smog is too dangerous for any creature, due to the toxic vapor that surrounds it. In addition, finding a natural antidote for its venom is too difficult, as its composition is different for each specimen.","Vor Jahrhunderten entwickelte ein Team aus Chemikern und Magiern hastig gefährliche Technologie. Das Ergebnis war eine instabile Maschine und die größte Explosion der Geschichte.\n\nIn der Nähe des Giftigen Smogs zu sein, ist für jedes Lebewesen zu gefährlich, aufgrund des toxischen Dampfes, der ihn umgibt. Außerdem ist es zu schwierig, ein natürliches Gegenmittel für sein Gift zu finden, da seine Zusammensetzung bei jedem Exemplar unterschiedlich ist.",TERM:Creature->Kreatur,,
213,"Phase Warriors are remnants of people who once fought in important battles. A powerful enchantment is needed to create them, and it can only be cast by a competent Mage in exchange for their own life.\n\nEvery living being can produce a remnant. The Phase Champion has the power to channel that possibility and use it to return the soul of a dead creature to its body.","Phase Warriors sind Überreste von Menschen, die einst in wichtigen Schlachten kämpften. Ein mächtiger Zauber ist nötig, um sie zu erschaffen, und er kann nur von einem fähigen Magier gewirkt werden, der dafür sein eigenes Leben opfert.\n\nJedes Lebewesen kann einen Überrest erzeugen. Der Phasenchampion besitzt die Macht, diese Möglichkeit zu kanalisieren und sie zu nutzen, um die Seele eines toten Wesens in seinen Körper zurückzubringen.",TERM:Creature->Kreatur,,
223,"This creature was once believed to be extinct, but it seems that killing off the progeny of Regalis is extremely complicated. The Mite Plaguespreader is a known transmitter of contagious diseases, and on one occasion it brought a rare and deadly disease to Andolin that forced the authorities to put the kingdom into quarantine for several months. Plaguespreaders who live in cities hide in the sewers and come out at night to eat garbage.","Dieses Wesen galt einst als ausgestorben, doch es scheint, dass die Ausrottung der Nachkommen von Regalis äußerst kompliziert ist. Der Milben-Seuchenverbreiter ist ein bekannter Überträger ansteckender Krankheiten und brachte einmal eine seltene und tödliche Krankheit nach Andolin, die die Behörden zwang, das Königreich für mehrere Monate unter Quarantäne zu stellen. Seuchenverbreiter, die in Städten leben, verstecken sich in der Kanalisation und kommen nachts heraus, um Müll zu fressen.",TERM:Creature->Kreatur,,
225,"This creature is responsible for one of the most unpleasant landscapes in the country. Like Arachnalisks, Mites reach peaks of overpopulation once or twice a century. When the forests of Rodia are completely tangled in cobwebs, a disgusting sight that causes serious damage to ecosystems, it means it is time for the authorities to take measures. Its silk also allows it to survive in extreme environments and to immobilize its enemies.","Dieses Wesen ist für eine der unangenehmsten Landschaften des Landes verantwortlich. Ähnlich wie Arachnalisken erreichen Milben ein- oder zweimal pro Jahrhundert Überpopulationsspitzen. Wenn die Wälder von Rodia vollständig in Spinnweben verheddert sind, ein widerlicher Anblick, der schwere Schäden an Ökosystemen verursacht, bedeutet dies, dass es Zeit für die Behörden ist, Maßnahmen zu ergreifen. Seine Seide ermöglicht es ihm auch, in extremen Umgebungen zu überleben und seine Feinde zu immobilisieren.",TERM:Creature->Kreatur,,
236,"Gargoyles are not self-aware. They are simply guided by certain instructions that are determined during the process of their creation. However, the people of Undolim have always just considered them to be reserved creatures.\n\nDuring the day, Sunclaw Gargoyles fly high for hours to absorb solar energy. In this way, they generate an aura of light that allows their allies to navigate even the deepest darkness.","Gargoyles sind nicht selbstbewusst. Sie werden einfach von bestimmten Anweisungen geleitet, die während ihres Erschaffungsprozesses festgelegt werden. Die Bewohner von Undolim haben sie jedoch immer nur als zurückhaltende Wesen betrachtet.\n\nTagsüber fliegen Sonnenklauen-Gargoyles stundenlang hoch, um Sonnenenergie zu absorbieren. Auf diese Weise erzeugen sie eine Aura aus Licht, die es ihren Verbündeten ermöglicht, selbst in tiefster Dunkelheit zu navigieren.",TERM:Creatures->Kreaturen,,
251,"This creature emerged from the pieces of the first God of Darkness's skull. Unlike other Banshees, it is very aggressive and tries to destroy everything in its path. Its screams can stop the heart of a weak-willed person, and a touch of its hand leads even the happiest people to despair. Aware of the danger this creature posed, Erebyss decided to destroy it. However, it has managed to regenerate over the centuries, and soon the time will come for it to sow chaos in Rodia.","Dieses Wesen entstand aus den Stücken des Schädels des ersten Gottes der Dunkelheit. Im Gegensatz zu anderen Banshees ist es sehr aggressiv und versucht, alles auf seinem Weg zu zerstören. Seine Schreie können das Herz eines willensschwachen Menschen zum Stillstand bringen, und eine Berührung seiner Hand führt selbst die glücklichsten Menschen zur Verzweiflung. Im Bewusstsein der Gefahr, die von diesem Wesen ausging, beschloss Erebyss, es zu vernichten. Allerdings ist es ihm gelungen, sich im Laufe der Jahrhunderte zu regenerieren, und bald wird die Zeit kommen, in der es Chaos in Rodia säen wird.",TERM:Creature->Kreatur,,
263,"The existence of the Spirits is subject to the use of magic and a series of conditions that vary according to the subspecies. They are usually merciful creatures who take care of any beings they encounter, but their lack of intelligence can sometimes lead them to support evil causes.\n\nWhen a Spirit has lived for five hundred years it becomes an Ancient Spirit. Thanks to its experience, it has a vast knowledge of magic and many spells that manifest spontaneously when someone tries to save an ally.","Die Existenz der Geister unterliegt dem Gebrauch von Magie und einer Reihe von Bedingungen, die je nach Unterart variieren. Sie sind in der Regel barmherzige Wesen, die sich um alle Lebewesen kümmern, denen sie begegnen, aber ihr Mangel an Intelligenz kann manchmal dazu führen, dass sie böse Absichten unterstützen.\n\nWenn ein Geist fünfhundert Jahre gelebt hat, wird er zu einem Uralten Geist. Dank seiner Erfahrung verfügt er über umfassendes Wissen über Magie und viele Zaubersprüche, die sich spontan manifestieren, wenn jemand versucht, einen Verbündeten zu retten.",TERM:Creatures->Kreaturen,,
268,"In Rodia's popular culture, Spirits are considered a good omen. These creatures are apparently scared of the bustle of big cities, so it is more frequent to find them at night in small towns or villages.\n\nMany people suffer from the uncertainty of not knowing what tomorrow will bring. Clairvoyant Spirits approach them and show them illusions of happiness. These are commonly interpreted as visions of the future, and they help people live without fear, even if they are false.","In der Populärkultur Rodias gelten Geister als gutes Omen. Diese Wesen haben offenbar Angst vor dem Trubel großer Städte, weshalb man sie häufiger nachts in kleinen Städten oder Dörfern antrifft.\n\nViele Menschen leiden unter der Ungewissheit, nicht zu wissen, was der morgige Tag bringen wird. Hellseherische Geister nähern sich ihnen und zeigen ihnen Illusionen des Glücks. Diese werden gemeinhin als Zukunftsvisionen interpretiert und helfen den Menschen, ohne Furcht zu leben, selbst wenn sie falsch sind.",TERM:Creatures->Kreaturen,,
295,"At first, the Hounds were domestic creatures, but unfortunately, there are always those who choose to abandon their faithful friends. Luckily, Hounds are perfect hunters with great adaptability that always find a place in any ecosystem.\n\nAlthough the Hell Hound's fiery breath is a powerful weapon, what makes it really dangerous are its magical abilities to strengthen the pack through a mystical union.","Anfangs waren die Hunde Haustiere, doch leider gibt es immer jene, die ihre treuen Freunde aussetzen. Glücklicherweise sind Hunde perfekte Jäger mit großer Anpassungsfähigkeit, die stets einen Platz in jedem Ökosystem finden.\n\nObwohl der feurige Atem des Höllenhundes eine mächtige Waffe ist, sind es seine magischen Fähigkeiten, die Meute durch eine mystische Verbindung zu stärken, die ihn wirklich gefährlich machen.",TERM:Creatures->Kreaturen,,
302,"Up to now, nobody knows if Demigods can live forever. However, it seems like they need to feed on the magic inside of items continuously. It may be necessary to clarify that by ""items"" they also mean all other living creatures.\n\nThe Immortal King named itself thus when it learned the meaning of those words, though it claims to have coined the terms itself. Trying to make it change its mind is tantamount to suicide.","Bis jetzt weiß niemand, ob Halbgötter ewig leben können. Allerdings scheint es, als müssten sie sich kontinuierlich von der Magie in Gegenständen ernähren. Es könnte notwendig sein klarzustellen, dass mit ""Gegenständen"" auch alle anderen Lebewesen gemeint sind.\n\nDer Unsterbliche König gab sich selbst diesen Namen, als er die Bedeutung dieser Worte erfuhr, obwohl er behauptet, die Begriffe selbst geprägt zu haben. Zu versuchen, ihn umzustimmen, kommt einem Selbstmord gleich.",TERM:Creatures->Kreaturen,,
